"Invoice Number","Budget Class Code","Sport","Brief Award Description","Net Sales","Tax","Subtotal","Shipping","Balance Due","Budget Supervisor"
"785503","S-060-00-CC-M","XC","Cross Country 2024 Championship Awards","572220.00","0.00","572220.00","21186.00","593406.00","Lizzie"
"785504","S-060-00-SC-W","SC","Soccer 24 Regular Season Championship Trophy","262875.00","0.00","262875.00","56712.00","319587.00","Lizzie"
"785505","S-060-00-SC-W","SC","Soccer 24 Regular Season Championship Trophy","262875.00","0.00","262875.00","34817.00","297692.00","Lizzie"
"785682","S-060-00-BB-M","Men's Basketball","Promotional Items - Magnets (Split 1/2)","410685.00","0.00","410685.00","0.00","410685.00","Brian"
"785682","S-060-00-BB-W","Women's Basketball","Promotional Items - Magnets (Split 2/2)","386000.00","0.00","386000.00","13344.00","399344.00","Dayna"
"785795","S-050-00-XX-0","Unallocated/Special","Special Olympics Ring Boxes","10470.00","0.00","10470.00","2015.00","12485.00","Jenn H"
"785998","S-060-00-VB-W","VB","Volleyball Regular Season Championship","262875.00","0.00","262875.00","60241.00","323116.00","Lizzie"
"786426","S-050-00-XX-0","Unallocated/Special","Academic Awards - All-Rookie Team Certificates","114816.00","9684.00","124500.00","15600.00","140100.00","Nicole"
"787383","S-050-00-CC-M","XC","Cross Country Of The Year Awards","193672.00","0.00","193672.00","15820.00","209492.00","Lizzie"
"787801","S-060-00-WW-M","WR","Wrestling Championship 2024-25","396245.00","0.00","396245.00","16748.00","412993.00","Lizzie"
"787802","S-050-00-XX-0","Unallocated/Special","Display/Demo Medals","43372.00","3447.00","46819.00","0.00","46819.00","Lizzie"
"787803","S-060-00-GY-W","GYM","Championship Trophy (Split 1/3)","262875.00","0.00","262875.00","29310.00","292185.00","Lizzie"
"787803","S-060-00-GY-W","GYM","Tournament Championship (Split 2/3)","152250.00","0.00","152250.00","0.00","152250.00","Lizzie"
"787803","S-050-00-GY-W","GYM","Of The Year A + Of The Year B + Medals (Split 3/3)","310577.00","0.00","310577.00","0.00","310577.00","Lizzie"
"787804","S-060-00-BB-M","MBB","Championship Trophy","262875.00","0.00","262875.00","8049.00","270924.00","Lizzie"
"787805","S-050-00-XX-0","Unallocated/Special","Special Olympics Medals","12392.00","0.00","12392.00","2093.00","14485.00","Jenn H"
"787806","S-060-00-SD-M","SD","Swimming & Diving Team Medals","27882.00","4911.00","32793.00","20965.00","53758.00","Lizzie"
"787807","S-060-00-BB-W","WBB","Women's Basketball Regular Season 2023","262875.00","0.00","262875.00","53164.00","316039.00","Dayna"
"787984","S-050-00-XX-0","Unallocated/Special","Special Olympics Ring Boxes","9542.00","0.00","9542.00","1989.00","11531.00","Jenn H"
"787985","S-060-00-BB-M","MBB","Most Outstanding Player (Split 1/3)","9450.00","0.00","9450.00","14399.00","23849.00","Lizzie"
"787985","S-060-00-BB-M","MBB","Of The Year Large (Split 2/3)","24570.00","0.00","24570.00","0.00","24570.00","Lizzie"
"787985","S-060-00-BB-M","MBB","Tournament Championship (Split 3/3)","152250.00","0.00","152250.00","0.00","152250.00","Lizzie"
"787986","S-060-00-BB-W","WBB","Women's Basketball Tournament Championship 24","186270.00","0.00","186270.00","16411.00","202681.00","Dayna"
"788239","S-060-00-EQ-W","EQ","Championship Trophy (Split 1/3)","262875.00","0.00","262875.00","20922.00","283797.00","Lizzie"
"788239","S-060-00-EQ-W","EQ","Most Outstanding Performer (Split 2/3)","37800.00","0.00","37800.00","0.00","37800.00","Lizzie"
"788239","S-050-00-EQ-W","EQ","Of The Year + 1st Team All-Conference (Split 3/3)","198970.00","0.00","198970.00","0.00","198970.00","Lizzie"
"788545","S-060-00-GF-M","MGO","Championship Trophy","262875.00","0.00","262875.00","6326.00","269201.00","Lizzie"
"788546","S-060-00-GF-W","WGO","Women's Golf Championship 2025","262875.00","0.00","262875.00","8411.00","271286.00","Lizzie"
"788788","S-050-00-EQ-W","EQ","Of The Year plates + All Conference plates","41500.00","0.00","41500.00","1833.00","43333.00","Lizzie"
"788789","S-050-00-BB-W","WBB","Women's Basketball Of The Year Awards","211074.00","0.00","211074.00","21858.00","232932.00","Dayna"
"789041","S-060-00-BV-W","BVB","Championship Trophy","262875.00","0.00","262875.00","13018.00","275893.00","Lizzie"
"789042","S-060-00-TN-M","MTN","Most Outstanding Player (Split 1/2)","9450.00","0.00","9450.00","11639.00","21089.00","Lizzie"
"789042","S-060-00-TN-M","MTN","Tournament Championship (Split 2/2)","152250.00","0.00","152250.00","0.00","152250.00","Lizzie"
"789582","S-060-00-LX-W","LAX","Most Outstanding Player (Split 1/2)","9450.00","0.00","9450.00","12669.00","22119.00","Lizzie"
"789582","S-060-00-LX-W","LAX","Tournament Championship (Split 2/2)","152250.00","0.00","152250.00","0.00","152250.00","Lizzie"
"789583","S-060-00-TN-M","MTN","Championship Trophy","262875.00","0.00","262875.00","12579.00","275454.00","Lizzie"
"789584","S-050-00-XX-0","Unallocated/Special","Trophy Repair & Replacement Parts","12000.00","0.00","12000.00","0.00","12000.00","Lizzie"
"789585","S-050-00-IT-M","Men's Indoor Track","Medals & Awards","18744.00","0.00","18744.00","7501.00","26245.00","Lizzie"
"790026","S-060-00-LX-W","LAX","Championship Trophy","262875.00","19716.00","282591.00","68038.00","350629.00","Lizzie"
"790027","S-050-00-SB-W","SB","Softball Regular Season Awards","262875.00","22870.00","285745.00","93321.00","379066.00","Lizzie"
"790028","S-060-00-TN-W","WTN","Women's Tennis Tournament Championship","161700.00","16968.00","178668.00","43971.00","222639.00","Lizzie"
"790029","S-050-00-LX-W","Lacrosse","Nameplates","2354.00","0.00","2354.00","1869.00","4223.00","Lizzie"
"790279","S-050-00-IT-M","ITK","Of The Year Awards","144532.00","12785.00","157317.00","12901.00","170218.00","Lizzie"
"790280","S-060-00-RW-W","RW","Rowing Championship 2025 Awards","633784.00","44365.00","678149.00","42807.00","720956.00","Lizzie"
"790281","S-050-00-WW-M","WR","Wrestling Of The Year & Coach OTY","73710.00","4457.00","78167.00","8650.00","86817.00","Lizzie"
"790903","S-050-00-SD-M","SD","Swimming & Diving 24-25 Of The Year Awards","316522.00","0.00","316522.00","17942.00","334464.00","Lizzie"
"790904","S-060-00-BV-W","BVB","Most Outstanding Pair","18900.00","0.00","18900.00","2331.00","21231.00","Lizzie"
"790905","S-050-00-BB-M","MBB","Of The Year Awards + All-Conference Teams","234200.00","204.00","234404.00","22255.00","256659.00","Lizzie"
"790906","S-050-00-RW-W","Rowing","Nameplates","3000.00","0.00","3000.00","1284.00","4284.00","Lizzie"
"791346","S-060-00-HB-0","BSB","Championship Trophy (Split 1/2)","262875.00","0.00","262875.00","18660.00","281535.00","Lizzie"
"791346","S-060-00-HB-0","BSB","Most Outstanding Player (Split 2/2)","9450.00","0.00","9450.00","0.00","9450.00","Lizzie"
"791347","S-050-00-EQ-W","EQ","Scholar Athlete","24570.00","2268.00","26838.00","3199.00","30037.00","Lizzie"
"791348","S-060-00-GF-W","WGO","Women's Golf Individual Medals","18588.00","101.00","18689.00","9801.00","28490.00","Lizzie"
"791349","S-060-00-SB-W","SB","Softball Tournament Championship Awards","161700.00","0.00","161700.00","5882.00","167582.00","Lizzie"
"792130","S-050-00-TN-M","MTN","Of The Year Awards + 1st Team All-Conference","211306.00","494.00","211800.00","16558.00","228358.00","Lizzie"
"792131","S-050-00-TN-W","WTN","Women's Tennis Of The Year All Conference","286623.00","3240.00","289863.00","30033.00","319896.00","Lizzie"