Budget Class Code,Sport,Brief Award Description,Net Sales,Tax,Subtotal,Shipping,Balance Due,Budget Supervisor
S-060-00-RW-W,Rowing,Championship Trophy OTY Awards All-Conf & Medals,6337.84,443.65,6781.49,428.07,7209.56,Lizzie
S-060-00-SB-W,Softball,Tournament Championship Trophy & MOP Award,1617.00,0.00,1617.00,58.82,1675.82,Lizzie
S-050-00-SB-W,Softball,Regular Season Championship Trophy,2628.75,228.70,2857.45,933.21,3790.66,Lizzie
S-060-00-SD-M,Swimming & Diving,Team Medals (Gold Silver Bronze),278.82,49.11,327.93,209.65,537.58,Lizzie
S-050-00-SD-M,Swimming & Diving,OTY Awards (9 Large 2 Freshman 2 Scholar),3165.22,0.00,3165.22,179.42,3344.64,Lizzie
S-060-00-SC-W,Soccer,Regular Season Championship Trophy (Iowa State),2628.75,0.00,2628.75,567.12,3195.87,Lizzie
S-060-00-SC-W,Soccer,Regular Season Championship Trophy (Big 12),2628.75,0.00,2628.75,348.17,2976.92,Lizzie
S-060-00-VB-W,Volleyball,Regular Season Championship Trophy & Plate,2628.75,0.00,2628.75,602.41,3231.16,Lizzie
S-060-00-BB-W,Women's Basketball,Tournament Championship (MOP OTY Trophy),1862.70,0.00,1862.70,164.11,2026.81,Dayna
S-060-00-BB-W,Women's Basketball,Regular Season Championship Trophy,2628.75,0.00,2628.75,531.64,3160.39,Dayna
S-050-00-BB-W,Women's Basketball,OTY Awards & All-Conference Teams,2110.74,0.00,2110.74,218.58,2329.32,Dayna
S-060-00-GF-W,Women's Golf,Championship Trophy,2628.75,0.00,2628.75,84.11,2712.86,Lizzie
S-060-00-GF-W,Women's Golf,Individual Medals (Gold Silver Bronze),185.88,1.01,186.89,98.01,284.90,Lizzie
S-060-00-WW-M,Wrestling,Championship Trophy MOP & Medals,3962.45,0.00,3962.45,167.48,4129.93,Lizzie
S-050-00-WW-M,Wrestling,OTY & Coach OTY Awards,737.10,44.57,781.67,86.50,868.17,Lizzie
S-060-00-TN-W,Women's Tennis,Tournament Championship (MOP & Trophy),1617.00,169.68,1786.68,439.71,2226.39,Lizzie
S-050-00-TN-W,Women's Tennis,OTY & All-Conference Teams,2866.23,32.40,2898.63,300.33,3198.96,Lizzie
S-050-00-CC-M,Cross Country,OTY Awards (6 Large 2 Small),1936.72,0.00,1936.72,158.20,2094.92,Lizzie
S-060-00-CC-M,Cross Country,Championship Trophies & Medals,5722.20,0.00,5722.20,211.86,5934.06,Lizzie
S-060-00-BB-M,Basketball - Men,Promotional Pins & Magnets (9 types),4106.85,0.00,4106.85,0.00,4106.85,Brian
S-060-00-BB-W,Basketball - Women,Promotional Pins & Magnets (15 types),3860.00,0.00,3860.00,133.44,3993.44,Dayna
S-050-00-XX-0,Unallocated,Academic All-Rookie Team Certificates (736),1148.16,96.84,1245.00,156.00,1401.00,Nicole
S-050-00-XX-0,Unallocated,Dummy Medals for Display/Testing (28),433.72,34.47,468.19,0.00,468.19,Lizzie
S-050-00-EQ-W,Equestrian,Nameplates & Rush Charge,415.00,0.00,415.00,18.33,433.33,Lizzie
S-050-00-IT-M,Indoor Track & Field,MOP Award & Medals,187.44,0.00,187.44,75.01,262.45,Lizzie
S-050-00-LX-W,Lacrosse,Championship Plates,23.54,0.00,23.54,18.69,42.23,Lizzie
S-050-00-RW-W,Rowing,School Name Plates,30.00,0.00,30.00,12.84,42.84,Lizzie
S-050-00-XX-0,Unallocated,Trophy Repair - Replacement Plates,120.00,0.00,120.00,0.00,120.00,Lizzie